situation,advice,why,source,category
Passing a group behaving aggressively,Do not engage or make eye contact. Cross the road calmly and keep moving at a steady pace.,Engagement — even a look — can be interpreted as a challenge. Creating distance quietly is the safest de-escalation.,College of Policing – Conflict Avoidance,threat_response
ATM safety,Use ATMs inside banks or shops when possible. Shield your PIN and be aware of who is nearby.,Outdoor ATMs are common sites for shoulder surfing and distraction theft.,Financial Fraud Action UK,financial_safety
Drink safety in social settings,Never leave your drink unattended. Accept drinks only from bar staff directly.,Drink spiking remains a significant risk in nightlife settings. Keeping control of your drink eliminates the main vector.,Drinkaware – Spiking Awareness,social_safety
Meeting someone from online for the first time,Always meet in a busy public place for the first few meetings. Tell a friend where you are going and when you expect to be back.,Meeting in public means bystanders are present and escape routes are available. Letting someone know your plans creates accountability.,Suzy Lamplugh Trust – Safer Dating,social_safety
Feeling pressured at a social event,Have an exit plan before you arrive. Agree a code word with a friend so they can help you leave without awkwardness.,Pre-planning removes the social pressure of making a decision in the moment. A code word lets a friend extract you discreetly.,Women's Aid – Social Safety,social_safety
Receiving unwanted or persistent messages,Block the person immediately and save screenshots as evidence. Report the behaviour to the platform and to police if it escalates.,Blocking stops contact and preserves your wellbeing. Evidence is required if you need to apply for a restraining order or report harassment.,National Stalking Helpline – Online Harassment,social_safety
Being filmed or photographed without your consent,"Ask the person to delete the image calmly but firmly. If they refuse or share it, it may be a criminal offence — report it to police.",Non-consensual filming in public or private is covered by the Online Safety Act 2023 in the UK. You have the right to report it.,Revenge Porn Helpline – Image-based Abuse,social_safety
Harassment in a public place,Move toward a group of people or enter a shop. Speak loudly and clearly if you need help. Report the incident to police after.,Being vocal in public alerts bystanders and can deter a harasser. Reporting creates a record that supports future action.,Metropolitan Police – Street Harassment,social_safety
Peer pressure to do something that feels unsafe,You have the right to say no without explanation. A simple firm statement is more effective than a lengthy excuse.,Research shows that giving reasons for a refusal invites counter-arguments. A direct no is legally and socially valid.,Suzy Lamplugh Trust – Assertiveness,social_safety
Sharing personal details at social events,Avoid sharing your home address or daily routine with people you have just met. Use a first name only if you are unsure.,Oversharing location and routine information with strangers creates a vulnerability that can be exploited later.,National Crime Prevention Council – Personal Information,social_safety
Forcibly taken or grabbed against your will,Make as much noise as possible immediately — scream and attract attention. Drop your weight to the ground to make yourself harder to move. Fight back if it is safe to do so and run toward people or lights. Call 999 as soon as you can.,Resistance in the first moments is your strongest defence. Kidnappers rely on speed and compliance — noise and dead weight significantly reduce their ability to move you. Studies show victims who resist in the first 30 seconds are far more likely to escape.,National Crime Agency – Personal Safety / Suzy Lamplugh Trust,threat_response
Walking a dog alone,Stay on populated routes and vary your walking times. Carry your phone charged.,Dog walkers can be targeted because their routine is predictable and they are often in quieter areas.,Kennel Club – Safe Dog Walking,exercise_safety
Using public Wi-Fi,Avoid logging into banking or email on public networks. Use mobile data for sensitive tasks.,Public Wi-Fi can be intercepted to steal login credentials and personal data.,National Cyber Security Centre,digital_safety
Sharing location with friends,Use a trusted app to share your live location with at least one contact when travelling.,Real-time location sharing means help can find you quickly if you stop responding.,Women's Aid – Technology Safety,preparedness
Trusting your instincts,If a situation feels wrong leave immediately. You can always apologise later — you cannot undo harm.,Multiple safety organisations agree: your subconscious processes threats faster than conscious analysis. Act on discomfort.,Suzy Lamplugh Trust – Trust Your Instincts,awareness
Planning a new route,Check the route in daylight first if possible. Note safe spots such as shops and busy junctions along the way.,Familiarity with a route reduces anxiety and increases your ability to react to unexpected situations.,Living Streets – Walking Safely,route_safety
Feeling panicked or overwhelmed in an unsafe situation,"Take a slow breath in for 4 counts and out for 4. Focus on one action at a time — move away from the threat if you can. Call 999 if you are in immediate danger. You do not have to speak — stay on the line and they will trace you.",Panic narrows your thinking and makes decisions harder. Slow breathing activates your body's calming system and restores clear thought. Emergency operators are trained to help even if you cannot speak.,Mental Health Foundation – Crisis Grounding / College of Policing,general
Lost and unsure of your surroundings,"Stop walking and stay in a well-lit public place. Open your maps app or ask a member of staff in a nearby shop. Share your live location with a trusted contact until you reach somewhere safe.",Moving while disoriented can take you further from safety. Stopping lets you gather information calmly. Shops and cafes are generally safe places to ask for directions or wait.,Suzy Lamplugh Trust – Staying Safe,awareness
Being bullied in person,"Do not retaliate physically — this escalates the situation. Walk away calmly and tell a trusted adult as soon as possible. Write down what happened with dates and details. Schools are legally required to have an anti-bullying policy.",Physical retaliation rarely ends bullying and often results in the victim being punished too. Having a written record enables schools and authorities to take formal action.,Anti-Bullying Alliance UK,general
Cyberbullying or online abuse,"Screenshot and save all evidence before blocking the person. Report the content to the platform. If it involves threats or sexual images tell a trusted adult and report to police. Contact Childline on 0800 1111 — it is free and confidential.",Platforms must legally act on reports of abusive content. Saving evidence first means you have proof even after the post is deleted. You do not have to handle this alone.,Childline / UK Safer Internet Centre,digital_safety
Not knowing what to do or who to call when unsafe,"In immediate danger: call 999. Non-urgent police: call 101. Emotional support any time: Samaritans 116 123 (free). Under 19 and worried: Childline 0800 1111 (free). If you cannot speak to 999 press 55 on your keypad to signal you need help.",Having a clear list removes the paralysis of not knowing who to contact. The 55 silent signal allows police to confirm a real emergency without a voice call.,Samaritans / Metropolitan Police – Who to Call,preparedness
Feeling watched or like something is wrong,"Trust that feeling immediately. Remove yourself from the situation without hesitation — enter a shop or public building and stay near staff or other people. You do not need to justify leaving to anyone.",Your subconscious detects threat cues faster than conscious reasoning. Acting on discomfort is always the right choice. You can apologise for leaving later — you cannot undo harm.,Gavin de Becker – The Gift of Fear / Suzy Lamplugh Trust,awareness
